movie,director,actor,Duration,fbdirector_likes,fblikes_actor,genre,imdb_score,fblikes_movie,year,imdb_rating,country,year1,gross,budget,Duration.,duration
Waitress,Adrienne Shelly,Lew Temple,90-180min,191,597,Comedy,7.1,0,2007,7,USA,2007,$ 19M,$ 2M,108,1-2  hrs
Bloodsport,Newt Arnold,Bolo Yeung,90-180min,15,633,Action,6.8,0,1988,7,USA,1988,$ 12M,$ 1.1M,92,1-2  hrs
Mr. Smith Goes to Washington,Frank Capra,Claude Rains,90-180min,964,607,Comedy,8.2,0,1939,8,USA,1939,$ 0M,$ 1.5M,120,1-2  hrs
Kids,Larry Clark,Rosario Dawson,90-180min,184,3000,Drama,7,0,1995,7,USA,1995,$ 7M,$ 1.5M,91,1-2  hrs
The Squid and the Whale,Noah Baumbach,William Baldwin,30-90min,387,436,Comedy,7.4,0,2005,7,USA,2005,$ 7M,$ 1.5M,88,1-2  hrs
Kissing Jessica Stein,Charles Herman-Wurmfeld,Scott Cohen,90-180min,0,378,Comedy,6.7,682,2001,7,USA,2001,$ 7M,$ 1M,97,1-2  hrs
"A Woman, a Gun and a Noodle Shop",Yimou Zhang,Honglei Sun,90-180min,611,9,Comedy,5.7,784,2009,6,Others,2009,$ 0M,$ 0M,95,1-2  hrs
Kickboxer: Vengeance,John Stockwell,Matthew Ziff,90-180min,134,260000,Action,9.1,0,2016,9,USA,2016,$ 0M,$ 17M,90,1-2  hrs
Spellbound,Alfred Hitchcock,Norman Lloyd,90-180min,13000,472,Film-Noir,7.6,0,1945,8,USA,1945,$ 0M,$ 1.696377M,95,1-2  hrs
Exotica,Atom Egoyan,Bruce Greenwood,90-180min,460,991,Drama,7.2,619,1994,7,Others,1994,$ 5M,$ 2M,103,1-2  hrs
Buffalo '66,Vincent Gallo,Anjelica Huston,90-180min,787,1000,Comedy,7.5,0,1998,8,USA,1998,$ 2M,$ 1.5M,110,1-2  hrs
Insidious,James Wan,Lin Shaye,90-180min,0,852,Fantasy,6.8,60000,2010,7,USA,2010,$ 54M,$ 1.5M,103,1-2  hrs
Repo Man,Alex Cox,Del Zamora,90-180min,92,752,Comedy,6.9,0,1984,7,USA,1984,$ 0M,$ 1.5M,92,1-2  hrs
Nine Queens,Fabiêçn Bielinsky,Ricardo Darê_n,90-180min,44,827,Crime,7.9,0,2000,8,Others,2000,$ 1M,$ 1.5M,114,1-2  hrs
The Gatekeepers,Dror Moreh,Ami Ayalon,90-180min,4,0,Documentary,7.6,0,2012,8,Others,2012,$ 2M,$ 0M,101,1-2  hrs
The Ballad of Jack and Rose,Rebecca Miller,Beau Bridges,90-180min,58,552,Drama,6.7,608,2005,7,USA,2005,$ 1M,$ 1.5M,112,1-2  hrs
The To Do List,Maggie Carey,Donald Glover,90-180min,38,801,Comedy,5.8,0,2013,6,USA,2013,$ 3M,$ 1.5M,104,1-2  hrs
Killing Zoe,Roger Avary,Eric Stoltz,90-180min,675,902,Crime,6.5,853,1993,7,Others,1993,$ 0M,$ 1.5M,99,1-2  hrs
The Believer,Henry Bean,Ryan Gosling,90-180min,21,33000,Drama,7.2,0,2001,7,USA,2001,$ 0M,$ 1.5M,98,1-2  hrs
Snow Angels,David Gordon Green,Michael Angarano,90-180min,234,947,Drama,6.9,415,2007,7,USA,2007,$ 0M,$ 0M,107,1-2  hrs
Unsullied,Simeon Rice,Ward G. Smith,90-180min,6,393,Action,5.5,307,2014,6,USA,2014,$ 0M,$ 1.5M,93,1-2  hrs
Session 9,Brad Anderson,Paul Guilfoyle,90-180min,122,210,Horror,6.5,0,2001,7,USA,2001,$ 0M,$ 1.5M,100,1-2  hrs
I Want Someone to Eat Cheese With,Jeff Garlin,Jessy Schram,30-90min,522,813,Comedy,6.2,0,2006,6,USA,2006,$ 0M,$ 1.5M,80,1-2  hrs
Mooz-Lum,Qasim Basir,Dorian Missick,90-180min,13,1000,Drama,6.7,0,2010,7,USA,2010,$ 0M,$ 0M,94,1-2  hrs
Hatchet,Adam Green,Joel David Moore,90-180min,134,936,Comedy,5.7,0,2006,6,USA,2006,$ 0M,$ 1.5M,93,1-2  hrs
Modern Times,Charles Chaplin,Paulette Goddard,30-90min,0,309,Comedy,8.6,0,1936,9,USA,1936,$ 0M,$ 1.5M,87,1-2  hrs
Stolen Summer,Pete Jones,Brian Dennehy,90-180min,18,954,Drama,6.5,304,2002,7,USA,2002,$ 0M,$ 1.5M,91,1-2  hrs
My Name Is Bruce,Bruce Campbell,Ted Raimi,30-90min,0,634,Comedy,6.3,0,2007,6,USA,2007,$ 0M,$ 1.5M,84,1-2  hrs
The Salon,Mark Brown,Vivica A. Fox,90-180min,7,890,Comedy,4.3,68,2005,4,USA,2005,$ 0M,$ 1.5M,90,1-2  hrs
Road Hard,Adam Carolla,Jay Mohr,90-180min,102,563,Comedy,6.1,212,2015,6,USA,2015,$ 0M,$ 1.5M,98,1-2  hrs
Forty Shades of Blue,Ira Sachs,Rip Torn,90-180min,60,826,Drama,6,216,2005,6,USA,2005,$ 0M,$ 1.5M,108,1-2  hrs
Amigo,John Sayles,Brian Lee Franklin,90-180min,407,38,Drama,5.8,594,2010,6,USA,2010,$ 0M,$ 1.7M,124,2-3 hrs
Pontypool,Bruce McDonald,Stephen McHattie,90-180min,49,413,Fantasy,6.7,0,2008,7,Others,2008,$ 0M,$ 1.5M,95,1-2  hrs
Trucker,James Mottern,Jimmy Bennett,90-180min,7,87000,Drama,6.7,371,2008,7,USA,2008,$ 0M,$ 2M,90,1-2  hrs
Me You and Five Bucks,Jaime Zevallos,Angela Sarafyan,90-180min,228,310,Comedy,7.6,132,2015,8,USA,2015,$ 0M,$ 1.5M,93,1-2  hrs
The Lords of Salem,Rob Zombie,Sid Haig,90-180min,0,1000,Drama,5.1,15000,2012,5,USA,2012,$ 1M,$ 2.5M,101,1-2  hrs
Housebound,Gerard Johnstone,Morgana O'Reilly,90-180min,3,61,Comedy,6.8,10000,2014,7,Others,2014,$ 0M,$ 0.35M,107,1-2  hrs
Wal-Mart: The High Cost of Low Price,Robert Greenwald,Lee Scott,Short film,21,0,Documentary,6.8,0,2005,7,USA,2005,$ 0M,$ 1.5M,20,<1 hr
Fetching Cody,David Ray,Nicole Muê±oz,30-90min,0,199,Drama,6.8,193,2005,7,Others,2005,$ 0M,$ 1.5M,87,1-2  hrs
Once Upon a Time in Queens,Dave Rodriguez,Chazz Palminteri,90-180min,11,979,Comedy,6.3,283,2013,6,USA,2013,$ 0M,$ 1.5M,98,1-2  hrs
Closer to the Moon,Nae Caranfil,Monica Barladeanu,90-180min,34,129,Comedy,7.1,0,2014,7,Others,2014,$ 0M,$ 5M,112,1-2  hrs
Mutant World,David Winning,Ashanti,30-90min,65,341,Sci-Fi,2.8,236,2014,3,Others,2014,$ 0M,$ 1.5M,82,1-2  hrs
Growing Up Smith,Frank Lotito,Brighton Sharbino,90-180min,5,3000,Comedy,8.2,232,2015,8,USA,2015,$ 0M,$ 2M,102,1-2  hrs
Checkmate,Timothy Woodward Jr.,Katrina Law,90-180min,764,835,Action,3.1,402,2015,3,USA,2015,$ 0M,$ 1.5M,97,1-2  hrs
Jack Reacher,Christopher McQuarrie,Tom Cruise,90-180min,188,10000,Action,7,38000,2012,7,USA,2012,$ 80M,$ 60M,130,2-3 hrs
#Horror,Tara Subkoff,Timothy Hutton,90-180min,37,501,Drama,3.3,750,2015,3,USA,2015,$ 0M,$ 1.5M,101,1-2  hrs
Wind Walkers,Russell Friedenberg,Rudy Youngblood,90-180min,9,708,Action,3.6,135,2015,4,USA,2015,$ 0M,$ 2M,93,1-2  hrs
Snow White and the Seven Dwarfs,William Cottrell,Adriana Caselotti,30-90min,0,82,Animation,7.7,0,1937,8,USA,1937,$ 185M,$ 2M,83,1-2  hrs
The Holy Girl,Lucrecia Martel,Mê_a Maestro,90-180min,33,341,Drama,6.7,57,2004,7,Others,2004,$ 0M,$ 1.4M,106,1-2  hrs
Shalako,Edward Dmytryk,Brigitte Bardot,90-180min,74,984,Western,5.5,209,1968,6,UK,1968,$ 0M,$ 1.455M,113,1-2  hrs
Incident at Loch Ness,Zak Penn,Zak Penn,90-180min,87,87,Adventure,6.6,400,2004,7,UK,2004,$ 0M,$ 1.4M,94,1-2  hrs
The Dog Lover,Alex Ranarivelo,Lea Thompson,90-180min,20,1000,Drama,4.8,724,2016,5,USA,2016,$ 0M,$ 2M,101,1-2  hrs
Girl House,Jon Knautz,Camren Bicondova,90-180min,10,756,Horror,5.5,969,2014,6,Others,2014,$ 0M,$ 3.15M,99,1-2  hrs
The Blue Room,Mathieu Amalric,Mathieu Amalric,30-90min,412,412,Crime,6.3,389,2014,6,Others,2014,$ 0M,$ 0M,76,1-2  hrs
House at the End of the Drive,David Worth,Jessica Szohr,90-180min,58,847,Horror,6.9,223,2014,7,USA,2014,$ 0M,$ 1.4M,91,1-2  hrs
Batman: The Movie,Leslie H. Martinson,Burgess Meredith,90-180min,7,1000,Adventure,6.5,0,1966,7,USA,1966,$ 0M,$ 1.3778M,105,1-2  hrs
"Lock, Stock and Two Smoking Barrels",Guy Ritchie,Jason Statham,90-180min,0,26000,Comedy,8.2,21000,1998,8,UK,1998,$ 4M,$ 0.96M,120,1-2  hrs
The Ballad of Gregorio Cortez,Robert M. Young,Barry Corbin,90-180min,0,883,Western,7.1,32,1982,7,USA,1982,$ 0M,$ 1.25M,105,1-2  hrs
The Celebration,Thomas Vinterberg,Ulrich Thomsen,90-180min,346,280,Drama,8.1,5000,1998,8,Others,1998,$ 2M,$ 1.3M,105,1-2  hrs
Trees Lounge,Steve Buscemi,Steve Buscemi,90-180min,12000,12000,Comedy,7.2,872,1996,7,USA,1996,$ 1M,$ 1.3M,95,1-2  hrs
Journey from the Fall,Ham Tran,Long Nguyen,90-180min,5,51,Drama,7.4,100,2006,7,USA,2006,$ 1M,$ 1.592M,135,2-3 hrs
The Basket,Rich Cowan,Eric Dane,90-180min,7,2000,Drama,6.5,117,1999,7,USA,1999,$ 1M,$ 1.3M,105,1-2  hrs
Eddie: The Sleepwalking Cannibal,Boris Rodriguez,Stephen McHattie,30-90min,5,413,Comedy,5.7,932,2012,6,Others,2012,$ 0M,$ 1.5M,83,1-2  hrs
Mercury Rising,Harold Becker,Bruce Willis,90-180min,17,13000,Action,6.1,0,1998,6,USA,1998,$ 33M,$ 60M,111,1-2  hrs
Queen of the Mountains,Sadyk Sher-Niyaz,Elina Abai Kyzy,90-180min,135,0,Action,8.7,0,2014,9,Others,2014,$ 0M,$ 1.4M,135,2-3 hrs
Def-Con 4,Paul Donovan,Maury Chaykin,30-90min,4,232,Action,4.3,220,1985,4,Others,1985,$ 0M,$ 1.75M,88,1-2  hrs
The Hebrew Hammer,Jonathan Kesselman,Judy Greer,30-90min,4,2000,Comedy,6.2,3000,2003,6,USA,2003,$ 0M,$ 1M,87,1-2  hrs
Neal 'N' Nikki,Arjun Sablok,Abhishek Bachchan,90-180min,0,374,Comedy,3.3,66,2005,3,Others,2005,$ 0M,$ 1.5M,97,1-2  hrs
The 41-Year-Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It,Craig Moss,Noureen DeWulf,30-90min,19,700,Comedy,2.7,0,2010,3,USA,2010,$ 0M,$ 1.3M,82,1-2  hrs
Forget Me Not,Tyler Oliver,Bella Thorne,90-180min,0,35000,Horror,5.2,969,2009,5,USA,2009,$ 0M,$ 1.3M,103,1-2  hrs
Rebecca,Alfred Hitchcock,Laurence Olivier,90-180min,13000,1000,Drama,8.2,0,1940,8,USA,1940,$ 0M,$ 1.288M,130,2-3 hrs
Friday the 13th Part 2,Steve Miner,Betsy Palmer,30-90min,49,309,Horror,6.1,0,1981,6,USA,1981,$ 19M,$ 1.25M,87,1-2  hrs
The Lost Weekend,Billy Wilder,Ray Milland,90-180min,0,287,Drama,8,0,1945,8,USA,1945,$ 0M,$ 1.25M,101,1-2  hrs
C.H.U.D.,Douglas Cheek,Daniel Stern,90-180min,4,796,Horror,5.5,0,1984,6,USA,1984,$ 0M,$ 1.25M,96,1-2  hrs
Filly Brown,Youssef Delara,Noel Gugliemi,30-90min,8,2000,Drama,5.7,0,2012,6,USA,2012,$ 3M,$ 0.427M,80,1-2  hrs
The Lion of Judah,Deryck Broom,Vic Mignogna,30-90min,11,578,Animation,3.7,381,2011,4,USA,2011,$ 0M,$ 15M,87,1-2  hrs
Niagara,Henry Hathaway,Joseph Cotten,90-180min,83,469,Crime,7.1,1000,1953,7,USA,1953,$ 0M,$ 1.25M,92,1-2  hrs
How Green Was My Valley,John Ford,Roddy McDowall,90-180min,673,595,Drama,7.8,0,1941,8,USA,1941,$ 0M,$ 1.25M,118,1-2  hrs
Da Sweet Blood of Jesus,Spike Lee,Rami Malek,90-180min,0,3000,Comedy,4.1,447,2014,4,USA,2014,$ 0M,$ 1.42M,123,2-3 hrs
"Sex, Lies, and Videotape",Steven Soderbergh,Peter Gallagher,90-180min,0,828,Drama,7.2,2000,1989,7,USA,1989,$ 25M,$ 1.2M,100,1-2  hrs
Saw,James Wan,Michael Emerson,90-180min,0,2000,Horror,7.7,0,2004,8,USA,2004,$ 55M,$ 1.2M,103,1-2  hrs
Super Troopers,Jay Chandrasekhar,Geoffrey Arend,90-180min,422,816,Comedy,7.1,0,2001,7,USA,2001,$ 18M,$ 1.2M,100,1-2  hrs
The Algerian,Giovanni Zelko,Zuhair Haddad,90-180min,4,18000,Action,7.6,221,2014,8,USA,2014,$ 0M,$ 1.3M,99,1-2  hrs
The Amazing Catfish,Claudia Sainte-Luce,Ximena Ayala,30-90min,0,31,Comedy,7,407,2013,7,Others,2013,$ 0M,$ 1.3M,89,1-2  hrs
The Day the Earth Stood Still,Scott Derrickson,Keanu Reeves,90-180min,301,18000,Drama,5.5,0,2008,6,USA,2008,$ 79M,$ 80M,104,1-2  hrs
Monsoon Wedding,Mira Nair,Naseeruddin Shah,90-180min,300,307,Comedy,7.4,0,2001,7,Others,2001,$ 14M,$ 7M,114,1-2  hrs
You Can Count on Me,Kenneth Lonergan,Matthew Broderick,90-180min,50,2000,Drama,7.7,756,2000,8,USA,2000,$ 9M,$ 1.2M,111,1-2  hrs
The Trouble with Harry,Alfred Hitchcock,Jerry Mathers,90-180min,13000,282,Comedy,7.2,0,1955,7,USA,1955,$ 0M,$ 1.2M,99,1-2  hrs
Lucky Number Slevin,Paul McGuigan,Bruce Willis,90-180min,118,13000,Crime,7.8,10000,2006,8,Others,2006,$ 22M,$ 27M,110,1-2  hrs
But I'm a Cheerleader,Jamie Babbit,Natasha Lyonne,30-90min,91,1000,Comedy,6.6,0,1999,7,USA,1999,$ 2M,$ 1.2M,85,1-2  hrs
Home Run,David Boyd,Vivica A. Fox,90-180min,29,890,Drama,6,0,2013,6,USA,2013,$ 3M,$ 1.2M,113,1-2  hrs
Reservoir Dogs,Quentin Tarantino,Quentin Tarantino,90-180min,16000,16000,Crime,8.4,19000,1992,8,USA,1992,$ 3M,$ 1.2M,99,1-2  hrs
The Blue Bird,Walter Lang,Spring Byington,30-90min,9,94,Drama,6.5,548,1940,7,USA,1940,$ 0M,$ 0M,83,1-2  hrs
"The Good, the Bad and the Ugly",Sergio Leone,Clint Eastwood,90-180min,0,16000,Western,8.9,20000,1966,9,Others,1966,$ 6M,$ 1.2M,142,2-3 hrs
The Second Mother,Anna Muylaert,Alex Huszar,90-180min,9,61,Comedy,7.9,0,2015,8,Others,2015,$ 0M,$ 4M,112,1-2  hrs
Blue Like Jazz,Steve Taylor,Jason Marsden,90-180min,14,1000,Comedy,6,0,2012,6,USA,2012,$ 1M,$ 1.2M,108,1-2  hrs
Down and Out with the Dolls,Kurt Voss,Lemmy,30-90min,0,268,Comedy,6.1,27,2001,6,USA,2001,$ 0M,$ 1.2M,88,1-2  hrs
"Pink Ribbons, Inc.",Lê©a Pool,,90-180min,4,NA,Documentary,7.4,5000,2011,7,Others,2011,$ 0M,$ 1.2M,97,1-2  hrs
Certifiably Jonathan,James David Pasternak,Robin Williams,30-90min,0,49000,Comedy,6.2,87,2007,6,USA,2007,$ 0M,$ 1.2M,85,1-2  hrs
Q,Laurent Bouhnik,Dê©borah Rê©vy,90-180min,0,34,Drama,5.6,754,2011,6,Others,2011,$ 0M,$ 1.5M,103,1-2  hrs
The Knife of Don Juan,Tom Sanchez,Nataniel Sêçnchez,90-180min,0,3,Comedy,7.2,75,2013,7,USA,2013,$ 0M,$ 1.2M,110,1-2  hrs
Grand Theft Parsons,David Caffrey,Marley Shelton,30-90min,4,690,Adventure,6.1,480,2003,6,USA,2003,$ 0M,$ 0M,88,1-2  hrs
Extreme Movie,Adam Jay Epstein,Rich Ceraulo,30-90min,0,387,Comedy,3.8,636,2008,4,USA,2008,$ 0M,$ 0M,76,1-2  hrs
The Charge of the Light Brigade,Michael Curtiz,Errol Flynn,90-180min,345,843,Action,7.1,204,1936,7,USA,1936,$ 0M,$ 1.2M,100,1-2  hrs
Below Zero,Justin Thomas Ostensen,Michael Berryman,90-180min,0,721,Thriller,4.5,161,2011,5,Others,2011,$ 0M,$ 1.2M,99,1-2  hrs
Crowsnest,Brenton Spencer,Christie Burke,30-90min,0,380,Action,3.8,238,2012,4,Others,2012,$ 0M,$ 1.2M,84,1-2  hrs
Airborne,Rob Bowman,Alanna Ubach,90-180min,38,584,Adventure,6.2,0,1993,6,USA,1993,$ 3M,$ 2.6M,91,1-2  hrs
Cotton Comes to Harlem,Ossie Davis,Redd Foxx,90-180min,282,586,Action,6.6,477,1970,7,USA,1970,$ 0M,$ 1.2M,97,1-2  hrs
The Wicked Within,Jay Alaimo,William McNamara,30-90min,2,10000,Horror,4.6,479,2015,5,USA,2015,$ 0M,$ 1.2M,84,1-2  hrs
Bleeding Hearts,Dylan Bank,Seregon O'Dassey,90-180min,0,498,Horror,4.2,242,2015,4,USA,2015,$ 0M,$ 1.2M,100,1-2  hrs
Waiting...,Rob McKittrick,Ryan Reynolds,90-180min,6,16000,Comedy,6.8,0,2005,7,USA,2005,$ 16M,$ 3M,94,1-2  hrs
Dead Man's Shoes,Shane Meadows,Paddy Considine,90-180min,222,680,Crime,7.7,0,2004,8,UK,2004,$ 0M,$ 0.695393M,90,1-2  hrs
From a Whisper to a Scream,Jeff Burr,Terry Kiser,90-180min,155,448,Action,5.9,241,1987,6,USA,1987,$ 1M,$ 1.1M,92,1-2  hrs
Sex with Strangers,Harry Gantz,,90-180min,0,NA,Documentary,4.7,51,2002,5,USA,2002,$ 0M,$ 0M,105,1-2  hrs
Dracula: Pages from a Virgin's Diary,Guy Maddin,Sarah Murphy-Dyson,30-90min,126,14,Comedy,7,131,2002,7,Others,2002,$ 0M,$ 1.6M,73,1-2  hrs
Faith Like Potatoes,Regardt van den Bergh,Sean Cameron Michael,90-180min,12,412,Drama,6.9,0,2006,7,Others,2006,$ 0M,$ 10M,116,1-2  hrs
Beyond the Black Rainbow,Panos Cosmatos,Chris Gauthier,90-180min,22,434,Sci-Fi,6.1,0,2010,6,Others,2010,$ 0M,$ 1.1M,110,1-2  hrs
The Raid: Redemption,Gareth Evans,Iko Uwais,90-180min,338,1000,Action,7.6,51000,2011,8,Others,2011,$ 4M,$ 1.1M,102,1-2  hrs
The Dead Undead,Matthew R. Anderson,Johnny Pacar,30-90min,252,1000,Action,3,444,2010,3,USA,2010,$ 0M,$ 1.1M,89,1-2  hrs
The Vatican Exorcisms,Joe Marino,Piero Maggiê_,30-90min,0,12,Horror,2.6,200,2013,3,Others,2013,$ 0M,$ 1.1M,76,1-2  hrs
Casablanca,Michael Curtiz,Humphrey Bogart,30-90min,345,2000,Drama,8.6,23000,1942,9,USA,1942,$ 0M,$ 0.95M,82,1-2  hrs
Lake Mungo,Joel Anderson,Talia Zucker,30-90min,0,12,Drama,6.1,0,2008,6,Others,2008,$ 0M,$ 1.4M,89,1-2  hrs
Rocket Singh: Salesman of the Year,Shimit Amin,Ranbir Kapoor,90-180min,6,964,Comedy,7.5,773,2009,8,Others,2009,$ 0M,$ 0M,150,2-3 hrs
Silent Running,Douglas Trumbull,Bruce Dern,30-90min,136,844,Drama,6.7,0,1972,7,USA,1972,$ 0M,$ 1M,89,1-2  hrs
Rocky,John G. Avildsen,Sylvester Stallone,90-180min,80,13000,Drama,8.1,0,1976,8,USA,1976,$ 117M,$ 0.96M,145,2-3 hrs
The Sleepwalker,Mona Fastvold,Christopher Abbott,90-180min,2,321,Drama,4.9,234,2014,5,Others,2014,$ 0M,$ 1.1M,91,1-2  hrs
The Fog,John Carpenter,Jamie Lee Curtis,30-90min,0,2000,Fantasy,6.8,7000,1980,7,USA,1980,$ 21M,$ 1M,89,1-2  hrs
Tom Jones,Tony Richardson,Albert Finney,90-180min,62,883,Adventure,6.8,328,1963,7,UK,1963,$ 0M,$ 1M,121,2-3 hrs
Unfriended,Levan Gabriadze,Shelley Hennig,30-90min,6,707,Horror,5.7,13000,2014,6,USA,2014,$ 32M,$ 1M,83,1-2  hrs
Taxi Driver,Martin Scorsese,Robert De Niro,90-180min,17000,22000,Crime,8.3,35000,1976,8,USA,1976,$ 0M,$ 1.3M,110,1-2  hrs
The Howling,Joe Dante,Patrick Macnee,90-180min,287,1000,Horror,6.6,0,1981,7,USA,1981,$ 18M,$ 1M,91,1-2  hrs
Dr. No,Terence Young,Ursula Andress,90-180min,92,650,Action,7.3,5000,1962,7,UK,1962,$ 16M,$ 1.1M,110,1-2  hrs
Chernobyl Diaries,Bradley Parker,Jesse McCartney,30-90min,18,1000,Horror,5,24000,2012,5,USA,2012,$ 18M,$ 1M,86,1-2  hrs
Hellraiser,Clive Barker,Andrew Robinson,30-90min,385,266,Fantasy,7,0,1987,7,UK,1987,$ 15M,$ 1M,86,1-2  hrs
God's Not Dead 2,Harold Cronk,Benjamin A. Onyango,90-180min,18,634,Drama,3.4,0,2016,3,USA,2016,$ 21M,$ 5M,120,1-2  hrs
Cry_Wolf,Jeff Wadlow,Julian Morris,90-180min,65,1000,Drama,5.9,816,2005,6,USA,2005,$ 10M,$ 1M,90,1-2  hrs
Godzilla 2000,Takao Okawara,Hiroshi Abe,90-180min,2,43,Action,6,339,1999,6,Others,1999,$ 10M,$ 1000M,99,1-2  hrs
Blue Valentine,Derek Cianfrance,Ryan Gosling,90-180min,310,33000,Drama,7.4,25000,2010,7,USA,2010,$ 10M,$ 3.5M,112,1-2  hrs
Transamerica,Duncan Tucker,Kevin Zegers,90-180min,2,2000,Adventure,7.4,0,2005,7,USA,2005,$ 9M,$ 1M,103,1-2  hrs
The Devil Inside,William Brent Bell,Fernanda Andrade,30-90min,19,403,Horror,4.2,12000,2012,4,USA,2012,$ 53M,$ 1M,83,1-2  hrs
Beyond the Valley of the Dolls,Russ Meyer,Charles Napier,90-180min,199,503,Comedy,6.2,0,1970,6,USA,1970,$ 9M,$ 0.9M,109,1-2  hrs
Love Me Tender,Robert D. Webb,James Drury,30-90min,0,356,Drama,6.2,365,1956,6,USA,1956,$ 0M,$ 1M,89,1-2  hrs
An Inconvenient Truth,Davis Guggenheim,Billy West,90-180min,49,861,Documentary,7.5,0,2006,8,USA,2006,$ 24M,$ 0M,96,1-2  hrs
Sands of Iwo Jima,Allan Dwan,James Brown,90-180min,23,183,Action,7.2,624,1949,7,USA,1949,$ 0M,$ 1M,109,1-2  hrs
Shine a Light,Martin Scorsese,Mick Jagger,90-180min,17000,543,Biography,7.2,0,2008,7,USA,2008,$ 5M,$ 0M,122,2-3 hrs
The Green Inferno,Eli Roth,Daryl Sabara,90-180min,0,640,Adventure,5.4,12000,2013,5,USA,2013,$ 7M,$ 6M,100,1-2  hrs
Departure,Andrew Steggall,Juliet Stevenson,90-180min,0,202,Drama,7,75,2015,7,UK,2015,$ 0M,$ 1.1M,109,1-2  hrs
The Sessions,Ben Lewin,W. Earl Brown,90-180min,20,422,Biography,7.2,11000,2012,7,USA,2012,$ 6M,$ 1M,95,1-2  hrs
"Food, Inc.",Robert Kenner,Michael Pollan,90-180min,11,37,Documentary,7.9,37000,2008,8,USA,2008,$ 4M,$ 0M,94,1-2  hrs
October Baby,Andrew Erwin,Rachel Hendrix,90-180min,10,544,Drama,6.8,0,2011,7,USA,2011,$ 5M,$ 0M,107,1-2  hrs
Next Stop Wonderland,Brad Anderson,Philip Seymour Hoffman,90-180min,122,22000,Comedy,6.7,392,1998,7,USA,1998,$ 3M,$ 1M,104,1-2  hrs
Juno,Jason Reitman,J.K. Simmons,90-180min,655,24000,Comedy,7.5,10000,2007,8,USA,2007,$ 143M,$ 7.5M,96,1-2  hrs
The Skeleton Twins,Craig Johnson,Ty Burrell,90-180min,7,3000,Comedy,6.8,0,2014,7,USA,2014,$ 5M,$ 0M,93,1-2  hrs
Martha Marcy May Marlene,Sean Durkin,Christopher Abbott,90-180min,46,321,Drama,6.9,0,2011,7,USA,2011,$ 3M,$ 0M,102,1-2  hrs
Obvious Child,Gillian Robespierre,Gaby Hoffmann,30-90min,9,612,Comedy,6.8,0,2014,7,USA,2014,$ 3M,$ 0M,84,1-2  hrs
Frozen River,Courtney Hunt,Charlie McDermott,90-180min,33,496,Crime,7.2,0,2008,7,USA,2008,$ 3M,$ 1M,97,1-2  hrs
20 Feet from Stardom,Morgan Neville,Sheryl Crow,90-180min,9,130,Documentary,7.4,14000,2013,7,USA,2013,$ 5M,$ 1M,91,1-2  hrs
Two Girls and a Guy,James Toback,Robert Downey Jr.,30-90min,56,21000,Comedy,5.6,387,1997,6,USA,1997,$ 2M,$ 1M,84,1-2  hrs
Walking and Talking,Nicole Holofcener,Kevin Corrigan,30-90min,132,778,Comedy,6.8,227,1996,7,UK,1996,$ 1M,$ 1M,86,1-2  hrs
The Full Monty,Peter Cattaneo,Tom Wilkinson,90-180min,11,1000,Comedy,7.2,0,1997,7,UK,1997,$ 46M,$ 3.5M,91,1-2  hrs
Who Killed the Electric Car?,Chris Paine,Ed Begley Jr.,90-180min,2,783,Documentary,7.7,0,2006,8,USA,2006,$ 2M,$ 1M,92,1-2  hrs
The Broken Hearts Club: A Romantic Comedy,Greg Berlanti,Justin Theroux,90-180min,112,1000,Comedy,7,671,2000,7,USA,2000,$ 2M,$ 1M,94,1-2  hrs
Bubba Ho-Tep,Don Coscarelli,Daniel Roebuck,90-180min,152,1000,Comedy,7.2,0,2002,7,USA,2002,$ 0M,$ 1M,92,1-2  hrs
Goosebumps,Rob Letterman,Odeya Rush,90-180min,11,2000,Adventure,6.4,35000,2015,6,USA,2015,$ 80M,$ 58M,103,1-2  hrs
Slam,Marc Levin,Sonja Sohn,90-180min,12,245,Drama,7.2,603,1998,7,USA,1998,$ 1M,$ 1M,100,1-2  hrs
Brigham City,Richard Dutcher,Wilford Brimley,90-180min,13,957,Crime,7.2,100,2001,7,USA,2001,$ 1M,$ 1M,119,1-2  hrs
Fiza,Khalid Mohamed,Karisma Kapoor,90-180min,10,353,Drama,6.2,92,2000,6,Others,2000,$ 1M,$ 1M,167,2-3 hrs
History of the World: Part I,Mel Brooks,Madeline Kahn,90-180min,0,1000,Comedy,6.9,0,1981,7,USA,1981,$ 0M,$ 11M,92,1-2  hrs
Orgazmo,Trey Parker,Trey Parker,90-180min,406,406,Comedy,6.2,0,1997,6,USA,1997,$ 1M,$ 1M,92,1-2  hrs
All the Real Girls,David Gordon Green,Zooey Deschanel,90-180min,234,11000,Drama,6.9,571,2003,7,USA,2003,$ 1M,$ 2.5M,108,1-2  hrs
Dream with the Fishes,Finn Taylor,David Arquette,90-180min,4,611,Comedy,7,166,1997,7,USA,1997,$ 0M,$ 1M,97,1-2  hrs
Blue Car,Karen Moncrieff,Frances Fisher,30-90min,22,638,Drama,6.7,115,2002,7,USA,2002,$ 0M,$ 1M,88,1-2  hrs
